iter	TotalF1:average=Macro	MultiClass
470	0.9931751792	0.1185797116
471	0.9931797223	0.1185651575
472	0.9931401164	0.1183990744
473	0.9931463643	0.1180628413
474	0.9932098516	0.1178865045
475	0.9932098516	0.1178807417
476	0.9932098516	0.1177489326
477	0.9932473343	0.1174859806
478	0.9932098516	0.11745419
479	0.9932424986	0.1171602435
480	0.9932272984	0.1169391022
481	0.9933921402	0.1165778969
482	0.99341594	0.1162755571
483	0.9933763342	0.1159837825
484	0.9933461174	0.1157095731
485	0.9934089919	0.1155320855
486	0.9936234306	0.1153380623
487	0.9936666028	0.1150328238
488	0.9936928796	0.114578704
489	0.9936928796	0.1145030347
490	0.9937294823	0.1142910914
491	0.9937620813	0.1140700799
492	0.9937254786	0.1138800889
493	0.9938512517	0.1136316997
494	0.9937949503	0.1136156141
495	0.9938552554	0.1135885219
496	0.9938979094	0.1133709716
497	0.9938938808	0.1132122088
498	0.9938310637	0.1130420675
499	0.9938310637	0.1128824653
500	0.9938884263	0.1127781464
501	0.9938884263	0.1127675466
502	0.9938582974	0.1125628458
503	0.9939949185	0.1123449406
504	0.9940272945	0.1119080661
505	0.994002358	0.1117047324
506	0.9940527144	0.1114551664
507	0.9940527144	0.111254567
508	0.9940893413	0.1109988921
509	0.9941219042	0.1108600742
510	0.994089513	0.1106778188
511	0.994089513	0.1106736135
512	0.9941692872	0.1106619495
513	0.9941668085	0.1106180016
514	0.9941668085	0.1106132165
515	0.994289004	0.1101986058
516	0.9943717448	0.1099716324
517	0.9944361221	0.1095898593
518	0.9944361221	0.1094091356
519	0.994415034	0.1090896717
520	0.9943754122	0.108919366
521	0.9944361221	0.1085897524
522	0.9944389155	0.1081472015
523	0.9944389155	0.1080200477
524	0.9945210287	0.1078758044
525	0.9945245043	0.1076365094
526	0.9945210287	0.1072444047
527	0.9945636079	0.1069316122
528	0.9946428614	0.1066348016
529	0.9946428614	0.1065893827
530	0.9946428614	0.1065797434
531	0.9946665411	0.1064709856
532	0.9946341368	0.1064608357
533	0.9946341368	0.1062271218
534	0.9946755302	0.1059961595
535	0.9946755302	0.1059319552
536	0.9947181308	0.1057389617
537	0.9947764988	0.1055504331
538	0.99483232	0.1053518671
539	0.9948645838	0.105114069
540	0.9948440265	0.104955834
541	0.9948904683	0.1046787779
542	0.9948904683	0.1046716479
543	0.9948904683	0.1046634537
544	0.9949760831	0.1044002508
545	0.99503051	0.1040418145
546	0.9950844452	0.1036976813
547	0.9951688596	0.1034594679
548	0.9952481861	0.103188763
549	0.9952822806	0.1029464308
550	0.9952822806	0.1027278421
551	0.9952822806	0.1025389587
552	0.9952822806	0.102524967
553	0.9953169932	0.1023365076
554	0.9953822541	0.1019863866
555	0.9953500097	0.1017985069
556	0.9953822541	0.1017908751
557	0.9953822541	0.101789032
558	0.9954654437	0.1015797798
559	0.9954654437	0.1013438853
560	0.9954654437	0.1013354228
561	0.9954654437	0.1013199775
562	0.9954654437	0.1012946332
563	0.9953797175	0.1011203126
564	0.9954779033	0.1008757653
565	0.9955102969	0.1006880846
566	0.9954947028	0.100382448
567	0.9955159561	0.1002418476
568	0.9955625484	0.100012564
569	0.9955670917	0.09992439125
570	0.9956204077	0.09969838704
571	0.9956530066	0.09951903907
572	0.9957696276	0.09919350959
573	0.9956852158	0.09893819811
574	0.9956641276	0.0986833885
575	0.9956319183	0.09847586681
576	0.9956319183	0.09833466934
577	0.9958335088	0.09816952938
578	0.9958512352	0.09802108081
579	0.9958914342	0.09786352076
580	0.9959543317	0.09766306846
581	0.9959845401	0.0974600376
582	0.9960192524	0.09745407578
583	0.9960424729	0.09722629772
584	0.9960424729	0.09721941869
585	0.9960247465	0.09696536188
586	0.9960247465	0.09695992788
587	0.9960792435	0.09677640924
588	0.9960792435	0.09676243486
589	0.9960792435	0.09675747677
590	0.9960928672	0.09645633106
591	0.99615462	0.09627927611
592	0.99615462	0.09627772725
593	0.9961955668	0.09612432058
594	0.9962869403	0.09580565281
595	0.9962869403	0.09579910259
596	0.9963195222	0.09557456071
597	0.9963195222	0.09538507159
598	0.9963393806	0.09511216884
599	0.9964237907	0.09504782612
600	0.9964237907	0.09504223637
601	0.9964237907	0.09503664662
602	0.9964565863	0.09500284852
603	0.9964891682	0.09471812596
604	0.9964891682	0.09466975643
605	0.9964891682	0.09463562953
606	0.9964891682	0.09434903794
607	0.9964891682	0.09430908766
608	0.9964891682	0.09417206086
609	0.9965068944	0.09391237104
610	0.9965283858	0.09361305974
611	0.9965283858	0.09346982884
612	0.9965693325	0.09311055317
613	0.9965904208	0.09307216906
614	0.9965904208	0.09305912919
615	0.9965693325	0.09276042359
616	0.9965693325	0.0927157921
617	0.9965301149	0.09251436203
618	0.9965301149	0.09235797012
619	0.9965533353	0.09214658925
620	0.9965533353	0.09195477251
621	0.9965533353	0.09194965866
622	0.9966678516	0.09175317802
623	0.9967522612	0.09159801482
624	0.9967522612	0.09157980054
625	0.9967522612	0.09154566498
626	0.9967522612	0.09152596241
627	0.9967005063	0.09128054981
628	0.9967849158	0.09115986828
629	0.9968633489	0.09098938951
630	0.9967914781	0.09086849166
631	0.9968306943	0.0906887024
632	0.9968175892	0.09051295403
633	0.9968175892	0.09050798729
634	0.9968568063	0.09047070209
635	0.9968960227	0.09046634969
636	0.9968960227	0.09046524213
637	0.9968175892	0.09017877168
638	0.9968175892	0.09001597665
639	0.9968175892	0.08993125644
640	0.9968175892	0.08976063922
641	0.9969609577	0.08945650827
642	0.9970212826	0.0891384289
643	0.9970001942	0.08880534546
644	0.9970001942	0.08855331342
645	0.9970692854	0.0882614782
646	0.9970692854	0.08812695209
647	0.9971096265	0.08785344363
648	0.9971096265	0.08785219762
649	0.9971419478	0.08756939599
650	0.9972226689	0.08729545489
651	0.997263028	0.08698994814
652	0.9973058355	0.08669913395
653	0.9973058355	0.08640736795
654	0.9973058355	0.08640351742
655	0.9974367052	0.08611461552
656	0.9974367052	0.08611339547
657	0.9974367052	0.08585169818
658	0.9974367052	0.08551112136
659	0.9974367052	0.08528558439
660	0.9974367052	0.08500832925
661	0.9974367052	0.08479796076
662	0.9974367052	0.08478088866
663	0.9974543845	0.08463125464
664	0.9974543845	0.08442054869
665	0.9974543845	0.08422796184
666	0.9974543845	0.08422670718
667	0.9974543845	0.0842224067
668	0.9974543845	0.08421186751
669	0.9974947746	0.08397496068
670	0.9975179951	0.08371506319
671	0.9975179951	0.08349195768
672	0.9975179951	0.08332976835
673	0.9975179951	0.08297773514
674	0.9975179951	0.08297344331
675	0.9975506494	0.08266094505
676	0.9975506494	0.08244817106
677	0.9975506494	0.08243192963
678	0.9975506494	0.08228982361
679	0.9975506494	0.0822765328
680	0.9975506494	0.08227262171
681	0.9975506494	0.08206509136
682	0.9975506494	0.08203330073
683	0.9975717378	0.08183745175
684	0.9975717378	0.0816548157
685	0.9975506494	0.08152472851
686	0.9975818897	0.08124506787
687	0.9975818897	0.08124334595
688	0.9975607705	0.0810358156
689	0.9975607705	0.0808471485
690	0.9975934248	0.08082378576
691	0.9976145131	0.08064841812
692	0.9976145131	0.08055949261
693	0.9976145131	0.08055578918
694	0.9976469841	0.08032255117
695	0.9976469841	0.08031960054
696	0.9976469841	0.0803016718
